business_type,target_demographic,target_location,campaign_budget_lkr,campaign_goal,listing_type,placement_name,channel_type,district,base_cost_lkr,primary_audience,estimated_reach,historical_ctr,historical_roi,historical_conversion_rate,previous_bookings,budget_gap_lkr,audience_match_score,location_match_score,channel_match_score,reach_to_cost_ratio,match_score
Travel & Tourism,25-34,Katunayake,243611,Product Launch,Vehicle Wrap Media,Truck Wrap,Outdoor,Gampaha,67816,25-34,11190,0.0293,0.99,0.0673,5,175795,0.8572,0.64,0.521,0.165005,0.6436
Healthcare,35-44,Kadawatha,220076,Sales Conversion,Vehicle Wrap Media,Van Wrap,Visual,Gampaha,182976,35-44,89781,0.029,1.12,0.0685,20,37100,0.9487,0.512,0.9092,0.490671,0.6003
Education,18-24,Battaramulla,231117,Lead Generation,Retail & Premises Signage,Counter Display,Visual,Colombo,162472,18-24,8918,0.0207,0.29,0.0297,14,68645,1.0,0.7843,0.7442,0.054889,0.6784
Real Estate,25-34,Kollupitiya,31689,Website Traffic,Outdoor Static Structure,Highway Billboard,Digital,Colombo,150146,25-34,101253,0.023,0.6,0.0589,10,-118457,0.7894,0.9189,0.7869,0.674364,0.4844
FMCG,55+,Bambalapitiya,219782,Customer Retention,Event Sponsorship,Title Sponsor,Event,Colombo,548297,55+,24724,0.0228,0.67,0.0405,24,-328515,0.8519,0.7748,0.6847,0.045092,0.4859
E-commerce,45-54,Wellawatte,297233,Lead Generation,Outdoor Static Structure,Transit Shelter,Outdoor,Colombo,105357,45-54,25210,0.0215,0.71,0.0484,18,191876,0.9242,0.8943,0.5002,0.239282,0.6828
Entertainment,55+,Pettah,293931,Brand Awareness,Vehicle Wrap Media,Car Wrap,Outdoor,Colombo,62953,55+,72690,0.0227,0.97,0.0343,20,230978,0.8473,0.7855,0.5166,1.154671,0.6377
Food & Beverage,35-44,Mathugama,78978,Customer Retention,Outdoor Static Structure,Street Pole Banner,Digital,Kalutara,118198,35-44,31721,0.0186,0.83,0.067,47,-39220,1.0,0.3361,0.8759,0.268372,0.7669
Entertainment,45-54,Kandana,32819,Event Promotion,Vehicle Wrap Media,Truck Wrap,Outdoor,Gampaha,70066,45-54,60920,0.0137,1.07,0.0588,22,-37247,0.9896,0.58,0.5787,0.869466,0.5733
Healthcare,25-34,Bulathsinhala,679581,Product Launch,Retail & Premises Signage,Storefront Display,Visual,Kalutara,87049,25-34,14583,0.0337,1.01,0.0769,6,592532,0.9293,0.302,0.5724,0.167526,0.559
Hospitality,35-44,Beruwala,107230,Brand Awareness,Newsletter Ad,Special Edition,Digital,Kalutara,24286,35-44,16976,0.0524,1.84,0.0657,39,82944,0.8002,0.6916,0.719,0.699004,0.7288
Retail,35-44,Ja-Ela,288111,Product Launch,Vehicle Wrap Media,Bus Wrap,Visual,Gampaha,45659,35-44,63289,0.0322,0.92,0.0667,27,242452,0.9053,0.5593,0.7506,1.386123,0.7438
Telecommunications,55+,Dodangoda,55070,Website Traffic,Event Sponsorship,Presenting Sponsor,Event,Kalutara,147759,55+,13800,0.0283,0.91,0.0465,26,-92689,0.7896,0.624,0.8902,0.093395,0.5921
Luxury Goods,Young Professionals,Minuwangoda,209158,Customer Retention,Newsletter Ad,Industry Digest,Digital,Gampaha,7059,Young Professionals,44244,0.0717,0.68,0.0539,42,202099,0.865,0.5876,0.5175,6.267743,0.6925
